Sand[w%] Clay[w%] Silt[w%] OC[w%] b[-] Psi_s[m] theta_s[m3/m3] wp[m3.m-3] K_s[ms-1] ATAU5 BTAU5 WP_SRF PORO_SRF ATAU_2cm BTAU_2cm
 43.333 53.333  3.333  0.258  4.9400 -0.2780  0.4667  0.1301  0.21009E-04   0.0205568   0.1628510  0.1301  0.4667   0.0126427   0.1464428
 36.667 56.667  6.667  0.258  5.4062 -0.3970  0.4969  0.1652  0.14197E-04   0.0258898   0.1793359  0.1652  0.4969   0.0160407   0.1642703
 33.333 53.333 13.333  0.258  6.2117 -0.3664  0.4992  0.1890  0.98520E-05   0.0334982   0.1465143  0.1890  0.4992   0.0191654   0.1310528
 26.667 56.667 16.667  0.258  6.0097 -0.5393  0.5246  0.2050  0.88411E-05   0.0340634   0.1740369  0.2050  0.5246   0.0205657   0.1596444
 23.333 53.333 23.333  0.258  6.3306 -0.4990  0.5214  0.2111  0.73367E-05   0.0382987   0.1526444  0.2111  0.5214   0.0220339   0.1376674
 16.667 56.667 26.667  0.258  5.9115 -0.7382  0.5463  0.2216  0.68430E-05   0.0375027   0.1844666  0.2216  0.5463   0.0229361   0.1703727
 13.333 53.333 33.333  0.258  6.0823 -0.6737  0.5406  0.2216  0.58087E-05   0.0408155   0.1628013  0.2216  0.5406   0.0239381   0.1483000
  6.667 56.667 36.667  0.258  5.5423 -0.9984  0.5655  0.2281  0.54459E-05   0.0396354   0.1976232  0.2281  0.5655   0.0246895   0.1834856
  3.333 53.333 43.333  0.258  5.6618 -0.8953  0.5581  0.2251  0.45596E-05   0.0429756   0.1721480  0.2251  0.5581   0.0256397   0.1576832
 53.333 43.333  3.333  0.258  5.0224 -0.1525  0.4237  0.1070  0.20921E-04   0.0206992   0.1054199  0.1070  0.4237   0.0110499   0.0866213
 46.667 46.667  6.667  0.258  5.8096 -0.1940  0.4497  0.1427  0.14067E-04   0.0275630   0.1145174  0.1427  0.4497   0.0146815   0.0965653
 43.333 43.333 13.333  0.258  6.4236 -0.1983  0.4535  0.1611  0.95996E-05   0.0352800   0.1038926  0.1611  0.4535   0.0174877   0.0849242
 36.667 46.667 16.667  0.258  6.5953 -0.2593  0.4750  0.1805  0.86122E-05   0.0374671   0.1151423  0.1805  0.4750   0.0193357   0.0976152
 33.333 43.333 23.333  0.258  6.6794 -0.2666  0.4730  0.1827  0.70088E-05   0.0406069   0.1089211  0.1827  0.4730   0.0202548   0.0906248
 26.667 46.667 26.667  0.258  6.6552 -0.3492  0.4942  0.1982  0.65632E-05   0.0415431   0.1211516  0.1982  0.4942   0.0217230   0.1043462
 23.333 43.333 33.333  0.258  6.5729 -0.3556  0.4895  0.1946  0.54511E-05   0.0433666   0.1148427  0.1946  0.4895   0.0220540   0.0972408
 16.667 46.667 36.667  0.258  6.4347 -0.4649  0.5111  0.2076  0.51508E-05   0.0440048   0.1279263  0.2076  0.5111   0.0234751   0.1114895
 13.333 43.333 43.333  0.258  6.2961 -0.4671  0.5045  0.2011  0.42112E-05   0.0458122   0.1198354  0.2011  0.5045   0.0236855   0.1025738
  6.667 46.667 46.667  0.258  6.0743 -0.6085  0.5266  0.2120  0.39685E-05   0.0465172   0.1330576  0.2120  0.5266   0.0251855   0.1169270
  3.333 43.333 53.333  0.258  5.9279 -0.6026  0.5184  0.2037  0.31502E-05   0.0489829   0.1224044  0.2037  0.5184   0.0255073   0.1051128
 63.333 33.333  3.333  0.258  4.4481 -0.1115  0.3920  0.0773  0.21259E-04   0.0191765   0.0792744  0.0773  0.3920   0.0090940   0.0583158
 56.667 36.667  6.667  0.258  5.4075 -0.1295  0.4129  0.1116  0.13991E-04   0.0266044   0.0870805  0.1116  0.4129   0.0125946   0.0661236
 53.333 33.333 13.333  0.258  5.7712 -0.1444  0.4181  0.1250  0.94071E-05   0.0323999   0.0855952  0.1250  0.4181   0.0147395   0.0637113
 46.667 36.667 16.667  0.258  6.2295 -0.1719  0.4348  0.1462  0.83109E-05   0.0358699   0.0923336  0.1462  0.4348   0.0167128   0.0714159
 43.333 33.333 23.333  0.258  6.0877 -0.1937  0.4340  0.1451  0.66448E-05   0.0367104   0.0918436  0.1451  0.4340   0.0169583   0.0705999
 36.667 36.667 26.667  0.258  6.3865 -0.2304  0.4508  0.1630  0.61623E-05   0.0395289   0.0980686  0.1630  0.4508   0.0187249   0.0778867
 33.333 33.333 33.333  0.258  6.0815 -0.2585  0.4472  0.1565  0.50155E-05   0.0389385   0.0974202  0.1565  0.4472   0.0183677   0.0769072
 26.667 36.667 36.667  0.258  6.2857 -0.3056  0.4646  0.1728  0.47182E-05   0.0418251   0.1031512  0.1728  0.4646   0.0201936   0.0835827
 23.333 33.333 43.333  0.258  5.9221 -0.3402  0.4589  0.1636  0.37718E-05   0.0410372   0.1015529  0.1636  0.4589   0.0196483   0.0814470
 16.667 36.667 46.667  0.258  6.0565 -0.3991  0.4772  0.1787  0.35560E-05   0.0443476   0.1066376  0.1787  0.4772   0.0216692   0.0874286
 13.333 33.333 53.333  0.258  5.6805 -0.4406  0.4698  0.1677  0.27548E-05   0.0439752   0.1036293  0.1677  0.4698   0.0211414   0.0835777
  6.667 36.667 56.667  0.258  5.7569 -0.5122  0.4889  0.1817  0.25869E-05   0.0479210   0.1078757  0.1817  0.4889   0.0234282   0.0884635
  3.333 33.333 63.333  0.258  5.3927 -0.5605  0.4800  0.1696  0.19300E-05   0.0484127   0.1032083  0.1696  0.4800   0.0230555   0.0826626
 73.333 23.333  3.333  0.258  3.4528 -0.1022  0.3744  0.0451  0.22840E-04   0.0164356   0.0638392  0.0451  0.3744   0.0070972   0.0417132
 66.667 26.667  6.667  0.258  4.4073 -0.1107  0.3887  0.0753  0.14465E-04   0.0232787   0.0716961  0.0753  0.3887   0.0101850   0.0489906
 63.333 23.333 13.333  0.258  4.5541 -0.1324  0.3956  0.0841  0.95901E-05   0.0271686   0.0737344  0.0841  0.3956   0.0117759   0.0505057
 56.667 26.667 16.667  0.258  5.1544 -0.1471  0.4063  0.1056  0.82079E-05   0.0304472   0.0800364  0.1056  0.4063   0.0134894   0.0572336
 53.333 23.333 23.333  0.258  4.8747 -0.1788  0.4069  0.1018  0.64538E-05   0.0298388   0.0817880  0.1018  0.4069   0.0133592   0.0592320
 46.667 26.667 26.667  0.258  5.3580 -0.1983  0.4181  0.1209  0.58360E-05   0.0327246   0.0872147  0.1209  0.4181   0.0149045   0.0651731
 43.333 23.333 33.333  0.258  4.9350 -0.2414  0.4156  0.1124  0.46596E-05   0.0308640   0.0887586  0.1124  0.4156   0.0142349   0.0670195
